Perfume Name,Brand,Gender,Top Notes,Middle Notes,Base Notes,Main Accords,Season,Time of Day
Intimate Revlonfor women,Revlon,for women,"Aldehydes, Rose, Gardenia, Coriander and Bergamot","Sandalwood, Patchouli, Orris Root, Jasmine and Virginia Cedar","oak moss, Civetta, Castoreum, Musk and Amber","['woody', 'musky', 'powdery', 'animalic', 'earthy', 'aldehydic', 'mossy', 'white floral', 'leather', 'amber']",Fall,Night
Jean Nate Revlonfor women,Revlon,for women,"Lemon, Bergamot and Lavender","Spicy Notes, Geranium, Rose, Jasmine and Lily-of-the-Valley","Musk, Sandalwood, Virginia Cedar and Tonka Bean","['citrus', 'aromatic', 'fresh spicy', 'woody', 'lavender', 'warm spicy', 'powdery', 'musky', 'rose', 'white floral']",Spring,Day
Jontue Revlonfor women,Revlon,for women,"Chamomile, Gardenia, Cypress, Bergamot and Rose","Mimosa, Tuberose, Ylang-Ylang, Sage and Geranium","Oakmoss, Vetiver, Benzoin, Musk and Patchouli","['aromatic', 'woody', 'earthy', 'yellow floral', 'herbal', 'white floral', 'mossy', 'floral', 'fresh spicy', 'powdery']",Fall,Any
Lasting Revlonfor women,Revlon,for women,Pear and Lotus,"Osmanthus, Heliotrope and Lily-of-the-Valley","Woodsy Notes, Sandalwood, Musk and Patchouli","['fruity', 'woody', 'floral', 'powdery', 'aquatic', 'fresh', 'sweet', 'musky', 'white floral', 'vanilla']",Spring,Night
Love Her Madly Revlonfor women,Revlon,for women,"Mandarin Orange, Ylang-Ylang and Bergamot","Rose, Violet, Lilac and Carnation",,"['floral', 'citrus', 'violet', 'rose', 'powdery', 'fresh', 'warm spicy']",Spring,Day
Love Her Madly Rendezvous Revlonfor women,Revlon,for women,"Plum, Orange, Grapefruit and Green Notes","Lily-of-the-Valley, Jasmine and Rose","Musk, Heliotrope, Woodsy Notes and Orris Root","['citrus', 'white floral', 'powdery', 'green', 'fruity', 'musky', 'woody', 'sweet', 'rose', 'floral']",Spring,Any
Love is in the Air Revlonfor women,Revlon,for women,"Lemon, Grapefruit, Pineapple, Pear, Melon and Coconut","Freesia, Mandarin Leaf and Peony","Vanilla, Coconut Milk, Patchouli and Cedar","['citrus', 'fresh', 'sweet', 'floral', 'fruity', 'woody', 'aromatic', 'vanilla', 'coconut', 'patchouli']",Summer,Any
One Heart Revlonfor women,Revlon,for women,"Bergamot, Pear Blossom and Pink Pepper","Lily-of-the-Valley, Peony and Heliotrope","Musk, Milk, Sandalwood and Orris","['floral', 'fresh', 'musky', 'powdery', 'citrus', 'white floral', 'lactonic', 'rose', 'fresh spicy', 'green']",Spring,Day
Pink Happiness Revlonfor women,Revlon,for women,"Amalfi Lemon, Elemi resin, Pepper and Bergamot","Lily-of-the-Valley, Jasmine and Ylang-Ylang","Musk, Vanille, Amber, Guaiac Wood and Virginia Cedar","['white floral', 'woody', 'citrus', 'powdery', 'fresh spicy', 'aromatic', 'musky', 'vanilla', 'fresh', 'amber']",Spring,Night
Pink Happiness Delicate Moments Revlonfor women,Revlon,for women,"Bamboo, Tea, Red Berries and Bergamot","Cotton Candy, Jasmine, Lily and Freesia","Mexican chocolate, Patchouli, Sandalwood, Vanille and Musk","['sweet', 'woody', 'powdery', 'caramel', 'warm spicy', 'white floral', 'fruity', 'patchouli', 'chocolate', 'vanilla']",All Season,Night
Pink Happiness Little Secrets Revlonfor women,Revlon,for women,Mandarin Orange and Black Currant,"Jasmine, Cardamom and Rose","Patchouli, Virginia Cedar and Guaiac Wood","['woody', 'warm spicy', 'patchouli', 'fruity', 'citrus', 'white floral', 'rose']",Spring,Day
Pub Revlonfor men,Revlon,for men,"Geranium, Star Anise, Amalfi Lemon, Tarragon and Basil","Heliotrope, Lavender and Lily-of-the-Valley","Musk, Vanille, Sandalwood, Patchouli and oak moss","['powdery', 'vanilla', 'aromatic', 'musky', 'woody', 'fresh spicy', 'almond', 'warm spicy', 'floral', 'anis']",All Season,Night
Reflections Revlonfor women,Revlon,for women,"Ylang-Ylang, Freesia and Pineapple","Jasmine, Lily-of-the-Valley, Tuberose and Peach","Patchouli, Musk, Almond and Sugar","['white floral', 'sweet', 'yellow floral', 'floral', 'woody', 'fresh', 'fruity', 'patchouli', 'green']",Spring,Any
Reign On Revlonfor women,Revlon,for women,Lemon and Bamboo Leaf,"Water Lily, Jasmine and Butterfly Orchid","Musk, Salt, White Woods and Moss","['floral', 'woody', 'citrus', 'white floral', 'fresh', 'aquatic', 'musky', 'salty', 'aromatic', 'earthy']",Summer,Day
Rhapsody Revlonfor women,Revlon,for women,"Orange Blossom, Peach and Pineapple","Orchid, Lily and Tiare Flower","Amber, Vanilla, Sandalwood and Cedar","['amber', 'white floral', 'powdery', 'woody', 'vanilla', 'animalic', 'soft spicy', 'sweet', 'floral']",Spring,Night
Rouge de Revlon Revlonfor women,Revlon,for women,Ylang-Ylang and Bergamot,"Gardenia, Red Peony, Violet, Rose and Lily-of-the-Valley","Pink Pepper, Sandalwood, Cedar and Peach","['woody', 'floral', 'white floral', 'yellow floral', 'powdery', 'fresh', 'rose', 'sweet', 'soft spicy', 'violet']",Spring,Any
Scoundrel Revlonfor women,Revlon,for women,"Aldehydes, Marigold, Artemisia, Bergamot, Pineapple and Mint","Tuberose, Mimosa, Hyacinth, Jasmine, Peach, Rose, Lily-of-the-Valley and Cyclamen","oak moss, Cypress, Raspberry, Musk and Virginia Cedar","['aromatic', 'floral', 'fresh spicy', 'sweet', 'white floral', 'fruity', 'woody', 'green', 'fresh', 'powdery']",Spring,Any
She Revlonfor women,Revlon,for women,"Champagne, Grapefruit, Ginger and Mandarin Orange","Honeysuckle, Rose, Cyclamen, Cardamom and Magnolia","Musk, Woodsy Notes and Sandalwood","['citrus', 'warm spicy', 'Champagne', 'floral', 'aldehydic', 'white floral', 'fruity', 'rose']",Spring,Any
Simply Enchanting Revlonfor women,Revlon,for women,"Bergamot, Tangerine, Pineapple and Grapefruit","Rose, Violet, Jasmine, Freesia and Neroli","Amber, Sandalwood, Vanille, Patchouli and Musk","['powdery', 'woody', 'floral', 'rose', 'amber', 'violet', 'citrus', 'vanilla', 'warm spicy', 'white floral']",Spring,Night
Skinlights Revlonfor women,Revlon,for women,"Clementine, Lavender, Ginger, Bergamot, Holly and Cypress","Sage, Osmanthus and Cyclamen",Cardamom and Musk,"['aromatic', 'citrus', 'floral', 'warm spicy', 'fresh spicy', 'fruity', 'musky', 'herbal', 'fresh', 'lavender']",All Season,Day
Splendid Revlonfor women,Revlon,for women,"Peony, Black Pepper and Freesia","Rose Oil, Red Berries and Ylang-Ylang","Patchouli, Powdery Notes, Musk, Vanilla and Moss","['floral', 'rose', 'fresh', 'fruity', 'powdery', 'patchouli', 'fresh spicy', 'warm spicy', 'sweet', 'woody']",Spring,Night
Splendid Life Revlonfor women,Revlon,for women,"Bergamot, Jasmine and Sweet Orange","Magnolia, Gardenia, Orange Blossom and Ylang-Ylang","Vanilla, Sandalwood, White Musk and Woody Notes","['citrus', 'white floral', 'woody', 'powdery', 'floral', 'vanilla', 'sweet', 'musky', 'fresh spicy']",Spring,Night
That Man Revlonfor men,Revlon,for men,"Bergamot, Lemon, Petitgrain and Lavender","Geranium, Cedar, Carnation and Spices","Oakmoss, Musk, Tonka Bean and Amber","['citrus', 'aromatic', 'warm spicy', 'fresh spicy', 'woody', 'mossy', 'musky', 'powdery', 'earthy', 'vanilla']",Winter,Night
Ultima Revlonfor women,Revlon,for women,"Spices, Aldehydes, Bergamot, Apple and Fruity Notes","Cinnamon, Carnation, Pimento, Rose, Jasmine and Orchid","Opoponax, Sandalwood, Civet, Amber, Benzoin, Patchouli and Vanilla","['warm spicy', 'amber', 'woody', 'balsamic', 'powdery', 'cinnamon', 'floral', 'aldehydic', 'animalic', 'fresh']",Winter,Night
Unforgettable Revlonfor women,Revlon,for women,"African Orange Flower, Lily-of-the-Valley and Freesia","Iris, Orris Root and Jasmine",Amber and Musk,"['white floral', 'iris', 'powdery', 'amber', 'musky', 'floral', 'earthy', 'animalic', 'violet', 'citrus']",Spring,Night
Whimsical Revlonfor women,Revlon,for women,"Violet Leaf, Geranium, Black Currant, Pepper and Mignonette","Iris, Lily-of-the-Valley, Rose, Jasmine and Ylang-Ylang","Musk, Amber, Vanille and Resin","['iris', 'white floral', 'powdery', 'floral', 'ozonic', 'rose', 'green', 'fresh spicy', 'aquatic', 'violet']",Spring,Day
Xia Xiang Revlonfor women,Revlon,for women,"Tangerine, Bergamot and Amalfi Lemon","Rose, Ylang-Ylang, African Orange Flower, Jasmine, Gardenia and Lily-of-the-Valley","oak moss, Sandalwood, Chamomile, Patchouli, Peach, Tonka Bean, plum and Vanille","['white floral', 'woody', 'sweet', 'citrus', 'fruity', 'vanilla', 'earthy', 'mossy', 'warm spicy', 'floral']",All Season,Night
Regia 1928 Regiafor women,Regia,for women,Orange Blossom and Hyacinth,"Jasmine, Rose and Iris Flower","Oakmoss, Patchouli, Sandalwood, Musk, Amber and Vanilla","['white floral', 'citrus', 'woody', 'powdery', 'floral', 'sweet']",Spring,Night
Ambre Loup Rania Jfor women and men,Rania J,for women and men,Spices and Cloves,"Labdanum, Vanilla Absolute and Peru Balsam","Guaiac Wood, Agarwood (Oud) and Cedar","['woody', 'amber', 'warm spicy', 'balsamic', 'vanilla', 'oud', 'musky', 'powdery']",Winter,Night
Jasmin Kama Rania Jfor women,Rania J,for women,Damask Rose and Bergamot,Egyptian Jasmine,"Patchouli, Heliotrope, Musk, Sandalwood and Vanilla","['white floral', 'powdery', 'woody', 'vanilla', 'floral', 'patchouli', 'musky', 'warm spicy', 'rose']",Spring,Night
Lavande 44 Rania Jfor women and men,Rania J,for women and men,Petitgrain and Bergamot,Lavender,"Tonka Bean, Vetiver, Patchouli, Labdanum, Agarwood (Oud) and Musk","['lavender', 'aromatic', 'woody', 'amber', 'fresh spicy', 'earthy', 'patchouli', 'vanilla', 'musky', 'oud']",Fall,Night
Oud Assam Rania Jfor women and men,Rania J,for women and men,"Bitter Orange, Sweet Orange and Bergamot",Indian Oud,"Olibanum, Vetiver, Tonka Bean, Cedar, Black Pepper and Musk","['oud', 'fresh spicy', 'woody', 'citrus', 'amber', 'aromatic', 'warm spicy', 'earthy', 'vanilla', 'sweet']",Winter,Night
Rose Ishtar Rania Jfor women,Rania J,for women,Cassis and Bergamot,Damask Rose and Bulgarian Rose,"Patchouli, Musk, Heliotrope, Sandalwood and Vanilla","['rose', 'woody', 'powdery', 'vanilla', 'floral', 'patchouli', 'aromatic', 'warm spicy', 'musky', 'citrus']",All Season,Night
Shah'ryar Rania Jfor women and men,Rania J,for women and men,"Caramel, Osmanthus and Bergamot",Plum and Labdanum,"Agarwood (Oud), Beeswax, Hay, Sandalwood, Vanilla, Vetiver, Cedar, Oakmoss and Musk","['fruity', 'woody', 'oud', 'sweet', 'caramel', 'floral', 'green', 'amber', 'fresh spicy', 'vanilla']",Winter,Night
T. Habanero Rania Jfor women and men,Rania J,for women and men,"Cardamom, Black Pepper and Pink Pepper",Tobacco,"Agarwood (Oud), Myrhh, Leather, Incense and Sandalwood","['warm spicy', 'tobacco', 'oud', 'amber', 'sweet', 'fresh spicy', 'leather', 'aromatic', 'balsamic', 'smoky']",Winter,Night
Black Lilly Queen Bfor women,Queen B,for women,"Mango, Fruity Notes, Peach, Apple and Red Berries","Lily, Spicy Notes and Floral Notes",Oriental notes,"['fruity', 'white floral', 'warm spicy', 'sweet', 'tropical', 'floral', 'amber', 'soft spicy']",Spring,Night
Desert Liwa Queen Bfor women and men,Queen B,for women and men,Blackberry and Fruits,"Peony, Fruity Notes and Rose","Amber, Resins, Spicy Notes and Powdery Notes","['amber', 'fruity', 'floral', 'rose', 'fresh', 'sweet', 'powdery']",Spring,Night
Gray Oud Queen Bfor women and men,Queen B,for women and men,Bergamot and Citruses,"Agarwood (Oud), Leather, Spicy Notes and Jasmine","Patchouli, Oriental notes, Musk and Vanilla","['warm spicy', 'oud', 'patchouli', 'leather', 'musky', 'amber', 'woody', 'animalic', 'powdery', 'citrus']",Winter,Night
Meli Melo Queen Bfor women and men,Queen B,for women and men,"Orange, Mandarin Orange, Lemon, Grapefruit and Bergamot","Orange Blossom, Citruses, Lime and Herbal Notes",Oriental notes and Spicy Notes,"['citrus', 'warm spicy', 'amber', 'white floral', 'sweet']",All Season,Night
Midnight Blue Queen Bfor women and men,Queen B,for women and men,Floral Notes,Oriental notes and Spicy Notes,Powdery Notes,"['warm spicy', 'floral', 'powdery', 'amber']",Winter,Night
Moon Raker Queen Bfor women and men,Queen B,for women and men,Citruses,"Floral Notes, Green Leaves and Spicy Notes","Amber, Musk, Resins and Woody Notes","['amber', 'woody', 'citrus', 'floral', 'green', 'musky', 'warm spicy', 'powdery', 'fresh', 'balsamic']",Winter,Day
Not Tonight Queen Bfor women and men,Queen B,for women and men,Pear,Rose,Musk and Agarwood (Oud),"['musky', 'oud', 'rose', 'fruity', 'sweet', 'powdery', 'aquatic', 'floral', 'fresh']",All Season,Night
Oud Arab London Queen Bfor women and men,Queen B,for women and men,Oriental notes and Spicy Notes,Rose,Agarwood (Oud) and Woody Notes,"['warm spicy', 'oud', 'rose', 'woody', 'amber']",Winter,Night
Rainbow Orchid Queen Bfor women and men,Queen B,for women and men,Saffron,Floral Notes,Musk and Agarwood (Oud),"['musky', 'oud', 'floral', 'powdery', 'warm spicy', 'fresh spicy']",All Season,Night
Royalty Queen Bfor women and men,Queen B,for women and men,Vetiver,"Orris Root, Patchouli and Amber","Woody Notes, Fruity Notes and Vanilla","['woody', 'earthy', 'fruity', 'iris', 'patchouli', 'powdery', 'sweet', 'aromatic', 'amber', 'vanilla']",Fall,Night
Spirit Oud Queen Bfor women and men,Queen B,for women and men,"Rose, Floral Notes and Woody Notes","Jasmine, Saffron and Woody Notes",Cedar and Musk,"['floral', 'rose', 'woody', 'musky', 'white floral', 'warm spicy', 'powdery']",Spring,Night
Why Privezarahfor men,Privezarah,for men,"Apple, Bergamot and Ginger","Juniper Berries, Sage and Geranium","Olibanum, Vetiver, Cedar, Amber and Tonka","['aromatic', 'fresh spicy', 'woody', 'warm spicy', 'amber', 'citrus', 'fruity', 'herbal', 'fresh', 'green']",All Season,Day
Amber Night Privezarahfor women and men,Privezarah,for women and men,Grapefruit and Bergamot,Rose and Pink Pepper,"Ambergris, Cedar, Guaiac Wood and Patchouli","['woody', 'amber', 'rose', 'animalic', 'citrus', 'floral', 'balsamic']",All Season,Any
Blend Afgano Privezarahfor men,Privezarah,for men,cannabis and Green Notes,"Tobacco, Resins and Coffee",Oud and Incense,"['oud', 'amber', 'smoky', 'cannabis', 'aromatic', 'balsamic', 'warm spicy', 'coffee', 'herbal', 'tobacco']",Winter,Night
Bois Dorès Privezarahfor women and men,Privezarah,for women and men,Olibanum,"Orris, Patchouli and Myrrh","Woody Notes, Honey, White Musk, Leather and Amber","['iris', 'woody', 'amber', 'powdery', 'earthy', 'honey', 'warm spicy', 'sweet', 'floral', 'animalic']",Fall,Night
Grey Mountain Privezarahfor women and men,Privezarah,for women and men,Grapefruit and Bergamot,"Orange Blossom, Jasmine, Rose, Ylang-Ylang and Strawberry","Sandalwood, White Musk, Patchouli, Oakmoss, Cedar and Amber","['woody', 'citrus', 'white floral', 'sweet', 'powdery', 'earthy', 'musky', 'yellow floral', 'rose', 'patchouli']",Fall,Night
Oud Highness Privezarahfor women and men,Privezarah,for women and men,Labdanum,Patchouli,"Sandalwood, Agarwood and Rose","['woody', 'amber', 'oud', 'patchouli', 'rose', 'warm spicy', 'balsamic', 'powdery', 'earthy', 'musky']",Winter,Night
AM-PM Playboyfor men,Playboy,for men,"Lemon, Cardamom and Ginger","Clary Sage, Cinnamon and Geranium","Vanilla, Amber Xtreme and Patchouli","['aromatic', 'warm spicy', 'citrus', 'vanilla', 'soft spicy', 'amber', 'woody', 'balsamic', 'patchouli', 'cinnamon']",Winter,Night
Berlin Playboyfor men,Playboy,for men,"Gin, Orange and Spices","Red Apple, Cranberry and Geranium","Sandalwood, Ambrette (Musk Mallow) and oak moss","['aromatic', 'woody', 'citrus', 'fruity', 'fresh spicy', 'warm spicy', 'herbal', 'sweet', 'mossy', 'musky']",All Season,Any
Endless Night For Her Playboyfor women,Playboy,for women,"Champagne, Pink Pepper and Orange","Artemisia, Rose and Orange Blossom","Patchouli, Musk and Sandalwood","['herbal', 'Champagne', 'citrus', 'aldehydic', 'woody', 'aromatic', 'musky', 'patchouli', 'rose', 'fresh spicy']",All Season,Day
Endless Night For Him Playboyfor men,Playboy,for men,"Guatemalan Cardamom, Saffron and Italian Lemon","Cinnamon, Violet Leaf and Night Blooming Jasmine","Leather, Patchouli and Virginia Cedar","['warm spicy', 'leather', 'woody', 'cinnamon', 'patchouli', 'aromatic', 'citrus', 'white floral', 'ozonic', 'animalic']",All Season,Any
Game Changer Playboyfor men,Playboy,for men,"Guatemalan Cardamom, Apple and Pink Pepper","Lavender, Orange Blossom and Salt","Vanilla, Indonesian Patchouli Leaf and Labdanum","['sweet', 'balsamic', 'citrus', 'fresh', 'warm spicy', 'fresh spicy', 'aromatic', 'earthy', 'green', 'marine']",Summer,Day
Goddess Complex Playboyfor women,Playboy,for women,"White Peach, Pear and Bergamot","Peony, Pink Pepper and Lily of the Valley","Indonesian Patchouli Leaf, Praline, Vanilla, Haitian Vetiver and Ambroxan","['sweet', 'fruity', 'fresh', 'floral', 'woody', 'citrus', 'vanilla', 'patchouli', 'rose', 'soft spicy']",Spring,Any
Golden Era Playboyfor women and men,Playboy,for women and men,"Apricot, Kumquat and Salt","Jasmine Sambac, Ylang Ylang and Coconut","Vanilla, Musk and Tonka Bean","['vanilla', 'sweet', 'powdery', 'yellow floral', 'coconut', 'white floral', 'musky', 'citrus', 'salty', 'lactonic']",Summer,Night
Gravity Zero Playboyfor men,Playboy,for men,"Lemon, Violet Leaf and Apple",Clary Sage and Geranium,"Cedar, Amber Xtreme and Musk","['aromatic', 'woody', 'fresh spicy', 'citrus', 'amber', 'musky', 'ozonic', 'aquatic', 'fruity', 'fresh']",Summer,Day
Ibiza Playboyfor men,Playboy,for men,"Water Notes, Kiwi, Citruses and Red Berries","Green Notes, Lavender, Artemisia and Tarragon","Nutmeg, Suede, Black Tea and Woodsy Notes","['fresh', 'fruity', 'green', 'aquatic', 'fresh spicy', 'aromatic', 'citrus', 'herbal', 'lavender', 'sweet']",Summer,Day
Keep it Real Playboyfor women,Playboy,for women,"Mandarin Orange, Blueberry and Bergamot","Jasmine Sambac, Hibiscus and Peony","Vanilla, Musk and Sandalwood","['floral', 'citrus', 'fruity', 'white floral', 'fresh', 'fresh spicy', 'sweet', 'musky']",Spring,Night
King of the Game Playboyfor men,Playboy,for men,"Cardamom, Black Pepper and Lemon",Granny Smith apple and Coffee,"Vanilla, Patchouli and Cedar","['warm spicy', 'fresh spicy', 'woody', 'aromatic', 'vanilla', 'coffee', 'citrus', 'fruity', 'patchouli', 'fresh']",All Season,Day
London Playboyfor men,Playboy,for men,"Mandarin Orange, Galbanum and Grapefruit","Cinnamon, Anise, Saffron, Opoponax, Green Notes and Myrtle","Cognac, Tonka Bean and Virginia Cedar","['warm spicy', 'woody', 'citrus', 'cinnamon', 'sweet', 'amber', 'aromatic', 'green', 'anis', 'vanilla']",Winter,Night
Make The Cover For Her Playboyfor women,Playboy,for women,"Peach, Pineapple and Bergamot","Jasmine Sambac, Lily-of-the-Valley and Rose","Sandalwood, Ambroxan and White Cedar Extract","['fruity', 'sweet', 'white floral', 'woody', 'fresh', 'citrus', 'powdery', 'tropical', 'floral', 'rose']",All Season,Day
Make The Cover For Him Playboyfor men,Playboy,for men,"Green Apple, Cardamom and Bergamot","Lavender, Violet and Fruits","Ambroxan, Woodsy Notes, Patchouli and Tonka Bean","['lavender', 'amber', 'aromatic', 'musky', 'fruity', 'fresh spicy', 'fresh', 'woody', 'warm spicy', 'green']",Spring,Any
My Rules Playboyfor men,Playboy,for men,"Black Pepper, Bergamot, Mint and Artemisia","Lavender, Tonka Bean, Hazelnut, Clearwood and Salt","Amberwood, Patchouli, Moss and Cashmere Wood","['amber', 'woody', 'warm spicy']",Fall,Night
My VIP Story For Men Playboyfor men,Playboy,for men,"Lemongrass, Bergamot and Grapefruit","Cedar Essence, Green Apple and Jasmine","Amber, Leather and Musk","['citrus', 'fresh spicy', 'woody', 'aromatic', 'powdery', 'amber', 'white floral', 'musky', 'leather', 'animalic']",Spring,Any
Play It Lovely Playboyfor women,Playboy,for women,"Blackberry, Citruses and Pear","Orchid, Night blooming Cereus and Tuberose","Tonka Bean, Amber and Patchouli","['fruity', 'sweet', 'white floral', 'citrus', 'amber', 'fresh', 'floral', 'tuberose', 'patchouli', 'vanilla']",Spring,Night
